Time,Distance_cm,Water_Percent,Pump
09:52:34,3,85,OFF
09:52:35,3,85,OFF
09:52:35,3,85,OFF
09:52:35,2,90,OFF
09:52:36,5,75,OFF
09:52:36,17,15,ON
09:52:36,14,30,ON
09:52:37,21,0,ON
09:52:37,19,5,ON
09:52:37,12,40,ON
09:52:38,6,70,ON
09:52:38,4,80,ON
09:52:38,4,80,ON
09:52:39,2,90,OFF
09:52:39,4,80,OFF
09:52:39,2,90,OFF
09:52:40,2,90,OFF
09:52:40,2,90,OFF
09:52:40,5,75,OFF
09:52:41,2,90,OFF
09:52:41,2,90,OFF
09:52:41,2,90,OFF
09:52:42,2,90,OFF
09:52:42,2,90,OFF
09:52:42,2,90,OFF
09:52:43,2,90,OFF
09:52:43,2,90,OFF
09:52:43,2,90,OFF
09:52:44,2,90,OFF
09:52:44,2,90,OFF
09:52:44,2,90,OFF
09:52:45,2,90,OFF
09:52:45,2,90,OFF
09:52:45,2,90,OFF
09:52:46,1,95,OFF
09:52:46,2,90,OFF
09:52:46,2,90,OFF
09:52:47,2,90,OFF
09:52:47,2,90,OFF
09:52:47,2,90,OFF
09:52:48,2,90,OFF
09:52:48,2,90,OFF
09:52:48,2,90,OFF
09:52:49,2,90,OFF
09:52:49,2,90,OFF
09:52:49,2,90,OFF
09:52:50,2,90,OFF
09:52:50,2,90,OFF
09:52:50,2,90,OFF
09:52:51,2,90,OFF
09:52:51,2,90,OFF
09:52:51,2,90,OFF
09:52:52,2,90,OFF
09:52:52,2,90,OFF
09:52:52,2,90,OFF
09:52:52,2,90,OFF
09:52:53,2,90,OFF
09:52:53,2,90,OFF
09:52:53,2,90,OFF
09:52:54,2,90,OFF
09:52:54,2,90,OFF
09:52:54,2,90,OFF
09:52:55,2,90,OFF
09:52:55,2,90,OFF
09:52:55,2,90,OFF
09:52:56,2,90,OFF
09:52:56,2,90,OFF
09:52:56,2,90,OFF
09:52:57,2,90,OFF
09:52:57,2,90,OFF
09:52:57,2,90,OFF
09:52:58,2,90,OFF
09:52:58,2,90,OFF
09:52:58,2,90,OFF
09:52:59,1,95,OFF
09:52:59,1,95,OFF
09:52:59,2,90,OFF
09:53:00,2,90,OFF
09:53:00,2,90,OFF
09:53:00,2,90,OFF
09:53:01,2,90,OFF
09:53:01,2,90,OFF
09:53:01,2,90,OFF
09:53:02,2,90,OFF
09:53:02,2,90,OFF
09:53:02,2,90,OFF
09:53:03,2,90,OFF
09:53:03,2,90,OFF
09:53:03,2,90,OFF
09:53:04,2,90,OFF
09:53:04,2,90,OFF
09:53:04,2,90,OFF
09:53:05,2,90,OFF
09:53:05,2,90,OFF
09:53:05,2,90,OFF
09:53:06,2,90,OFF
09:53:06,2,90,OFF
09:53:06,2,90,OFF
09:53:07,2,90,OFF
09:53:07,2,90,OFF
09:53:07,2,90,OFF
09:53:08,2,90,OFF
09:53:08,2,90,OFF
09:53:08,2,90,OFF
09:53:09,2,90,OFF
09:53:09,2,90,OFF
09:53:09,2,90,OFF
09:53:10,2,90,OFF
09:53:10,2,90,OFF
09:53:10,2,90,OFF
09:53:11,2,90,OFF
09:53:11,2,90,OFF
